Year,Month,Day,Daily global solar exposure (MJ/m*m)
2010,7,1,6.6
2010,7,2,3.7
2010,7,3,12.7
2010,7,4,12.2
2010,7,5,9.1
2010,7,6,3.1
2010,7,7,5.4
2010,7,8,8.9
2010,7,9,8.1
2010,7,10,12.0
2010,7,11,11.3
2010,7,12,12.1
2010,7,13,11.6
2010,7,14,9.7
2010,7,15,13.3
2010,7,16,13.1
2010,7,17,13.3
2010,7,18,13.5
2010,7,19,9.5
2010,7,20,13.5
2010,7,21,13.2
2010,7,22,13.6
2010,7,23,12.4
2010,7,24,13.6
2010,7,25,12.4
2010,7,26,13.7
2010,7,27,8.8
2010,7,28,4.1
2010,7,29,10.1
2010,7,30,13.0
2010,7,31,10.0
2010,8,1,15.0
2010,8,2,15.7
2010,8,3,13.4
2010,8,4,15.4
2010,8,5,15.4
2010,8,6,15.9
2010,8,7,15.9
2010,8,8,16.0
2010,8,9,15.7
2010,8,10,2.8
2010,8,11,9.2
2010,8,12,16.1
2010,8,13,16.6
2010,8,14,17.1
2010,8,15,16.4
2010,8,16,17.0
2010,8,17,17.7
2010,8,18,17.3
2010,8,19,15.3
2010,8,20,7.3
2010,8,21,18.4
2010,8,22,17.8
2010,8,23,4.5
2010,8,24,10.6
2010,8,25,10.2
2010,8,26,18.7
2010,8,27,19.3
2010,8,28,19.1
2010,8,29,19.3
2010,8,30,16.9
2010,8,31,18.4
2010,9,1,18.9
2010,9,2,18.4
2010,9,3,2.9
2010,9,4,8.5
2010,9,5,15.3
2010,9,6,19.6
2010,9,7,17.7
2010,9,8,12.1
2010,9,9,15.5
2010,9,10,14.4
2010,9,11,21.5
2010,9,12,20.3
2010,9,13,9.1
2010,9,14,8.4
2010,9,15,20.5
2010,9,16,19.0
2010,9,17,16.2
2010,9,18,19.9
2010,9,19,6.0
2010,9,20,2.0
2010,9,21,10.9
2010,9,22,17.6
2010,9,23,18.1
2010,9,24,19.8
2010,9,25,15.7
2010,9,26,18.0
2010,9,27,22.6
2010,9,28,20.9
2010,9,29,22.2
2010,9,30,19.7
2010,10,1,14.1
2010,10,2,11.2
2010,10,3,4.2
2010,10,4,3.1
2010,10,5,14.0
2010,10,6,22.0
2010,10,7,22.5
2010,10,8,7.0
2010,10,9,8.2
2010,10,10,5.8
2010,10,11,15.4
2010,10,12,18.5
2010,10,13,18.5
2010,10,14,21.8
2010,10,15,6.0
2010,10,16,27.9
2010,10,17,28.9
2010,10,18,28.6
2010,10,19,27.9
2010,10,20,19.2
2010,10,21,21.1
2010,10,22,24.9
2010,10,23,28.0
2010,10,24,21.8
2010,10,25,13.5
2010,10,26,16.0
2010,10,27,25.0
2010,10,28,21.2
2010,10,29,24.7
2010,10,30,24.3
2010,10,31,21.3
2010,11,1,10.3
2010,11,2,29.5
2010,11,3,29.6
2010,11,4,11.1
2010,11,5,10.7
2010,11,6,10.7
2010,11,7,23.3
2010,11,8,21.3
2010,11,9,17.3
2010,11,10,26.5
2010,11,11,13.5
2010,11,12,27.8
2010,11,13,24.6
2010,11,14,28.7
2010,11,15,27.3
2010,11,16,18.7
2010,11,17,6.0
2010,11,18,3.9
2010,11,19,13.8
2010,11,20,18.3
2010,11,21,20.4
2010,11,22,21.3
2010,11,23,26.8
2010,11,24,23.5
2010,11,25,29.5
2010,11,26,23.0
2010,11,27,29.5
2010,11,28,17.5
2010,11,29,29.2
2010,11,30,13.4
2010,12,1,8.1
2010,12,2,9.6
2010,12,3,12.7
2010,12,4,10.4
2010,12,5,11.8
2010,12,6,23.6
2010,12,7,25.6
2010,12,8,22.3
2010,12,9,27.5
2010,12,10,24.6
2010,12,11,7.3
2010,12,12,23.0
2010,12,13,27.6
2010,12,14,22.5
2010,12,15,29.9
2010,12,16,13.8
2010,12,17,16.2
2010,12,18,6.6
2010,12,19,5.7
2010,12,20,32.0
2010,12,21,32.2
2010,12,22,24.7
2010,12,23,5.6
2010,12,24,7.2
2010,12,25,7.6
2010,12,26,10.7
2010,12,27,4.4
2010,12,28,5.0
2010,12,29,32.0
2010,12,30,30.6
2010,12,31,31.6
2011,1,1,28.7
2011,1,2,27.2
2011,1,3,23.2
2011,1,4,25.6
2011,1,5,14.7
2011,1,6,2.3
2011,1,7,20.8
2011,1,8,20.1
2011,1,9,15.8
2011,1,10,5.3
2011,1,11,9.9
2011,1,12,15.2
2011,1,13,22.2
2011,1,14,24.1
2011,1,15,19.7
2011,1,16,30.9
2011,1,17,31.0
2011,1,18,18.7
2011,1,19,16.3
2011,1,20,25.3
2011,1,21,23.7
2011,1,22,20.1
2011,1,23,30.3
2011,1,24,28.7
2011,1,25,29.4
2011,1,26,29.9
2011,1,27,28.9
2011,1,28,12.0
2011,1,29,29.2
2011,1,30,20.9
2011,1,31,30.5
2011,2,1,29.0
2011,2,2,28.9
2011,2,3,22.9
2011,2,4,28.9
2011,2,5,29.3
2011,2,6,28.2
2011,2,7,7.9
2011,2,8,3.6
2011,2,9,17.6
2011,2,10,17.6
2011,2,11,27.1
2011,2,12,27.8
2011,2,13,25.7
2011,2,14,2.9
2011,2,15,15.3
2011,2,16,19.9
2011,2,17,24.5
2011,2,18,26.6
2011,2,19,22.9
2011,2,20,26.8
2011,2,21,8.0
2011,2,22,9.6
2011,2,23,20.4
2011,2,24,25.5
2011,2,25,26.0
2011,2,26,17.2
2011,2,27,22.4
2011,2,28,20.7
2011,3,1,25.5
2011,3,2,18.2
2011,3,3,10.7
2011,3,4,9.5
2011,3,5,4.9
2011,3,6,10.6
2011,3,7,20.5
2011,3,8,17.6
2011,3,9,18.0
2011,3,10,23.7
2011,3,11,15.0
2011,3,12,13.4
2011,3,13,19.8
2011,3,14,19.8
2011,3,15,22.9
2011,3,16,17.1
2011,3,17,12.0
2011,3,18,10.4
2011,3,19,3.7
2011,3,20,9.3
2011,3,21,14.2
2011,3,22,19.9
2011,3,23,18.7
2011,3,24,23.0
2011,3,25,22.7
2011,3,26,21.9
2011,3,27,21.8
2011,3,28,18.9
2011,3,29,18.5
2011,3,30,17.7
2011,3,31,20.3
2011,4,1,19.8
2011,4,2,17.9
2011,4,3,20.0
2011,4,4,20.8
2011,4,5,18.4
2011,4,6,11.2
2011,4,7,15.0
2011,4,8,15.9
2011,4,9,16.4
2011,4,10,20.1
2011,4,11,9.5
2011,4,12,20.0
2011,4,13,20.0
2011,4,14,19.5
2011,4,15,18.4
2011,4,16,2.7
2011,4,17,10.8
2011,4,18,10.6
2011,4,19,13.4
2011,4,20,12.3
2011,4,21,15.6
2011,4,22,16.8
2011,4,23,17.1
2011,4,24,12.4
2011,4,25,15.6
2011,4,26,8.9
2011,4,27,9.2
2011,4,28,11.0
2011,4,29,5.8
2011,4,30,15.1
2011,5,1,15.8
2011,5,2,14.6
2011,5,3,14.5
2011,5,4,14.0
2011,5,5,14.5
2011,5,6,15.3
2011,5,7,15.5
2011,5,8,14.2
2011,5,9,10.4
2011,5,10,14.1
2011,5,11,15.3
2011,5,12,14.9
2011,5,13,14.6
2011,5,14,14.9
2011,5,15,14.2
2011,5,16,14.1
2011,5,17,14.1
2011,5,18,11.6
2011,5,19,12.2
2011,5,20,10.5
2011,5,21,12.7
2011,5,22,5.4
2011,5,23,2.8
2011,5,24,12.8
2011,5,25,6.1
2011,5,26,12.7
2011,5,27,12.7
2011,5,28,10.7
2011,5,29,11.8
2011,5,30,4.2
2011,5,31,12.5
2011,6,1,7.7
2011,6,2,10.7
2011,6,3,12.8
2011,6,4,12.9
2011,6,5,12.3
2011,6,6,11.8
2011,6,7,9.5
2011,6,8,11.1
2011,6,9,10.2
2011,6,10,12.6
2011,6,11,6.0
2011,6,12,2.4
2011,6,13,3.5
2011,6,14,7.5
2011,6,15,10.5
2011,6,16,10.2
2011,6,17,12.2
2011,6,18,12.4
2011,6,19,12.2
2011,6,20,12.2
2011,6,21,12.2
2011,6,22,12.5
2011,6,23,12.2
2011,6,24,9.0
2011,6,25,5.2
2011,6,26,10.6
2011,6,27,12.0
2011,6,28,6.9
2011,6,29,8.6
2011,6,30,7.1
2011,7,1,7.4
2011,7,2,10.2
2011,7,3,10.3
2011,7,4,11.8
2011,7,5,12.4
2011,7,6,12.5
2011,7,7,12.5
2011,7,8,12.8
2011,7,9,12.9
2011,7,10,13.0
2011,7,11,13.0
2011,7,12,12.9
2011,7,13,7.7
2011,7,14,5.4
2011,7,15,9.9
2011,7,16,5.1
2011,7,17,11.5
2011,7,18,12.6
2011,7,19,12.1
2011,7,20,11.8
2011,7,21,12.8
2011,7,22,12.3
2011,7,23,13.1
2011,7,24,13.0
2011,7,25,13.5
2011,7,26,13.7
2011,7,27,13.8
2011,7,28,10.4
2011,7,29,13.1
2011,7,30,12.6
2011,7,31,13.7
2011,8,1,14.8
2011,8,2,14.5
2011,8,3,14.3
2011,8,4,14.2
2011,8,5,13.8
2011,8,6,13.7
2011,8,7,14.0
2011,8,8,13.4
2011,8,9,13.8
2011,8,10,15.3
2011,8,11,12.8
2011,8,12,14.8
2011,8,13,14.5
2011,8,14,11.3
2011,8,15,14.7
2011,8,16,14.0
2011,8,17,5.2
2011,8,18,11.7
2011,8,19,16.0
2011,8,20,12.5
2011,8,21,14.5
2011,8,22,13.3
2011,8,23,10.5
2011,8,24,15.3
2011,8,25,15.8
2011,8,26,18.4
2011,8,27,3.8
2011,8,28,18.9
2011,8,29,19.1
2011,8,30,13.3
2011,8,31,18.8
2011,9,1,15.4
2011,9,2,17.3
2011,9,3,16.5
2011,9,4,17.5
2011,9,5,15.7
2011,9,6,18.6
2011,9,7,18.7
2011,9,8,16.4
2011,9,9,6.1
2011,9,10,20.2
2011,9,11,20.6
2011,9,12,14.7
2011,9,13,19.6
2011,9,14,21.6
2011,9,15,21.0
2011,9,16,21.2
2011,9,17,21.3
2011,9,18,20.2
2011,9,19,20.7
2011,9,20,22.0
2011,9,21,21.6
2011,9,22,21.9
2011,9,23,21.7
2011,9,24,19.5
2011,9,25,7.0
2011,9,26,17.4
2011,9,27,21.7
2011,9,28,15.5
2011,9,29,6.2
2011,9,30,24.0
2011,10,1,9.6
2011,10,2,8.0
2011,10,3,19.4
2011,10,4,23.9
2011,10,5,18.1
2011,10,6,3.5
2011,10,7,23.1
2011,10,8,12.9
2011,10,9,22.6
2011,10,10,19.3
2011,10,11,24.9
2011,10,12,21.7
2011,10,13,10.9
2011,10,14,14.5
2011,10,15,9.0
2011,10,16,26.3
2011,10,17,20.1
2011,10,18,15.6
2011,10,19,23.4
2011,10,20,23.3
2011,10,21,26.7
2011,10,22,26.3
2011,10,23,25.4
2011,10,24,27.8
2011,10,25,23.5
2011,10,26,14.2
2011,10,27,11.4
2011,10,28,17.0
2011,10,29,25.0
2011,10,30,18.4
2011,10,31,28.5
2011,11,1,23.8
2011,11,2,27.7
2011,11,3,20.8
2011,11,4,15.8
2011,11,5,21.5
2011,11,6,28.1
2011,11,7,16.9
2011,11,8,29.1
2011,11,9,28.9
2011,11,10,24.9
2011,11,11,13.8
2011,11,12,15.2
2011,11,13,7.0
2011,11,14,28.8
2011,11,15,27.4
2011,11,16,27.1
2011,11,17,19.1
2011,11,18,17.4
2011,11,19,30.3
2011,11,20,30.6
2011,11,21,28.5
2011,11,22,24.6
2011,11,23,10.5
2011,11,24,4.7
2011,11,25,4.0
2011,11,26,9.8
2011,11,27,31.0
2011,11,28,27.1
2011,11,29,27.7
2011,11,30,25.4
2011,12,1,4.4
2011,12,2,27.7
2011,12,3,23.4
2011,12,4,29.4
2011,12,5,8.3
2011,12,6,10.5
2011,12,7,4.3
2011,12,8,13.8
2011,12,9,26.4
2011,12,10,6.4
2011,12,11,20.0
2011,12,12,12.4
2011,12,13,27.7
