Product code,Bureau of Meteorology station number,Year,Month,Day,Daily global solar exposure (MJ/m*m)
IDCJAC0016,061428,2016,01,01,
IDCJAC0016,061428,2016,01,02,
IDCJAC0016,061428,2016,01,03,
IDCJAC0016,061428,2016,01,04,
IDCJAC0016,061428,2016,01,05,
IDCJAC0016,061428,2016,01,06,
IDCJAC0016,061428,2016,01,07,
IDCJAC0016,061428,2016,01,08,
IDCJAC0016,061428,2016,01,09,
IDCJAC0016,061428,2016,01,10,
IDCJAC0016,061428,2016,01,11,
IDCJAC0016,061428,2016,01,12,
IDCJAC0016,061428,2016,01,13,
IDCJAC0016,061428,2016,01,14,
IDCJAC0016,061428,2016,01,15,
IDCJAC0016,061428,2016,01,16,
IDCJAC0016,061428,2016,01,17,
IDCJAC0016,061428,2016,01,18,
IDCJAC0016,061428,2016,01,19,
IDCJAC0016,061428,2016,01,20,
IDCJAC0016,061428,2016,01,21,
IDCJAC0016,061428,2016,01,22,
IDCJAC0016,061428,2016,01,23,
IDCJAC0016,061428,2016,01,24,
IDCJAC0016,061428,2016,01,25,
IDCJAC0016,061428,2016,01,26,
IDCJAC0016,061428,2016,01,27,
IDCJAC0016,061428,2016,01,28,
IDCJAC0016,061428,2016,01,29,
IDCJAC0016,061428,2016,01,30,
IDCJAC0016,061428,2016,01,31,
IDCJAC0016,061428,2016,02,01,
IDCJAC0016,061428,2016,02,02,
IDCJAC0016,061428,2016,02,03,
IDCJAC0016,061428,2016,02,04,
IDCJAC0016,061428,2016,02,05,
IDCJAC0016,061428,2016,02,06,
IDCJAC0016,061428,2016,02,07,
IDCJAC0016,061428,2016,02,08,
IDCJAC0016,061428,2016,02,09,
IDCJAC0016,061428,2016,02,10,
IDCJAC0016,061428,2016,02,11,
IDCJAC0016,061428,2016,02,12,
IDCJAC0016,061428,2016,02,13,
IDCJAC0016,061428,2016,02,14,
IDCJAC0016,061428,2016,02,15,
IDCJAC0016,061428,2016,02,16,
IDCJAC0016,061428,2016,02,17,
IDCJAC0016,061428,2016,02,18,
IDCJAC0016,061428,2016,02,19,
IDCJAC0016,061428,2016,02,20,
IDCJAC0016,061428,2016,02,21,
IDCJAC0016,061428,2016,02,22,
IDCJAC0016,061428,2016,02,23,
IDCJAC0016,061428,2016,02,24,
IDCJAC0016,061428,2016,02,25,
IDCJAC0016,061428,2016,02,26,
IDCJAC0016,061428,2016,02,27,
IDCJAC0016,061428,2016,02,28,
IDCJAC0016,061428,2016,02,29,
IDCJAC0016,061428,2016,03,01,
IDCJAC0016,061428,2016,03,02,
IDCJAC0016,061428,2016,03,03,
IDCJAC0016,061428,2016,03,04,
IDCJAC0016,061428,2016,03,05,
IDCJAC0016,061428,2016,03,06,
IDCJAC0016,061428,2016,03,07,
IDCJAC0016,061428,2016,03,08,
IDCJAC0016,061428,2016,03,09,
IDCJAC0016,061428,2016,03,10,
IDCJAC0016,061428,2016,03,11,
IDCJAC0016,061428,2016,03,12,
IDCJAC0016,061428,2016,03,13,
IDCJAC0016,061428,2016,03,14,
IDCJAC0016,061428,2016,03,15,
IDCJAC0016,061428,2016,03,16,
IDCJAC0016,061428,2016,03,17,
IDCJAC0016,061428,2016,03,18,
IDCJAC0016,061428,2016,03,19,
IDCJAC0016,061428,2016,03,20,
IDCJAC0016,061428,2016,03,21,
IDCJAC0016,061428,2016,03,22,
IDCJAC0016,061428,2016,03,23,
IDCJAC0016,061428,2016,03,24,
IDCJAC0016,061428,2016,03,25,
IDCJAC0016,061428,2016,03,26,
IDCJAC0016,061428,2016,03,27,
IDCJAC0016,061428,2016,03,28,
IDCJAC0016,061428,2016,03,29,
IDCJAC0016,061428,2016,03,30,
IDCJAC0016,061428,2016,03,31,
IDCJAC0016,061428,2016,04,01,
IDCJAC0016,061428,2016,04,02,
IDCJAC0016,061428,2016,04,03,
IDCJAC0016,061428,2016,04,04,
IDCJAC0016,061428,2016,04,05,
IDCJAC0016,061428,2016,04,06,
IDCJAC0016,061428,2016,04,07,
IDCJAC0016,061428,2016,04,08,
IDCJAC0016,061428,2016,04,09,
IDCJAC0016,061428,2016,04,10,
IDCJAC0016,061428,2016,04,11,
IDCJAC0016,061428,2016,04,12,
IDCJAC0016,061428,2016,04,13,
IDCJAC0016,061428,2016,04,14,
IDCJAC0016,061428,2016,04,15,
IDCJAC0016,061428,2016,04,16,
IDCJAC0016,061428,2016,04,17,
IDCJAC0016,061428,2016,04,18,
IDCJAC0016,061428,2016,04,19,
IDCJAC0016,061428,2016,04,20,
IDCJAC0016,061428,2016,04,21,
IDCJAC0016,061428,2016,04,22,
IDCJAC0016,061428,2016,04,23,
IDCJAC0016,061428,2016,04,24,
IDCJAC0016,061428,2016,04,25,
IDCJAC0016,061428,2016,04,26,
IDCJAC0016,061428,2016,04,27,
IDCJAC0016,061428,2016,04,28,
IDCJAC0016,061428,2016,04,29,
IDCJAC0016,061428,2016,04,30,
IDCJAC0016,061428,2016,05,01,
IDCJAC0016,061428,2016,05,02,
IDCJAC0016,061428,2016,05,03,
IDCJAC0016,061428,2016,05,04,
IDCJAC0016,061428,2016,05,05,
IDCJAC0016,061428,2016,05,06,
IDCJAC0016,061428,2016,05,07,
IDCJAC0016,061428,2016,05,08,
IDCJAC0016,061428,2016,05,09,
IDCJAC0016,061428,2016,05,10,
IDCJAC0016,061428,2016,05,11,
IDCJAC0016,061428,2016,05,12,
IDCJAC0016,061428,2016,05,13,
IDCJAC0016,061428,2016,05,14,
IDCJAC0016,061428,2016,05,15,
IDCJAC0016,061428,2016,05,16,
IDCJAC0016,061428,2016,05,17,
IDCJAC0016,061428,2016,05,18,
IDCJAC0016,061428,2016,05,19,
IDCJAC0016,061428,2016,05,20,
IDCJAC0016,061428,2016,05,21,
IDCJAC0016,061428,2016,05,22,
IDCJAC0016,061428,2016,05,23,
IDCJAC0016,061428,2016,05,24,
IDCJAC0016,061428,2016,05,25,
IDCJAC0016,061428,2016,05,26,
IDCJAC0016,061428,2016,05,27,
IDCJAC0016,061428,2016,05,28,
IDCJAC0016,061428,2016,05,29,
IDCJAC0016,061428,2016,05,30,
IDCJAC0016,061428,2016,05,31,
IDCJAC0016,061428,2016,06,01,
IDCJAC0016,061428,2016,06,02,
IDCJAC0016,061428,2016,06,03,
IDCJAC0016,061428,2016,06,04,
IDCJAC0016,061428,2016,06,05,
IDCJAC0016,061428,2016,06,06,
IDCJAC0016,061428,2016,06,07,
IDCJAC0016,061428,2016,06,08,
IDCJAC0016,061428,2016,06,09,
IDCJAC0016,061428,2016,06,10,
IDCJAC0016,061428,2016,06,11,
IDCJAC0016,061428,2016,06,12,
IDCJAC0016,061428,2016,06,13,
IDCJAC0016,061428,2016,06,14,
IDCJAC0016,061428,2016,06,15,
IDCJAC0016,061428,2016,06,16,
IDCJAC0016,061428,2016,06,17,
IDCJAC0016,061428,2016,06,18,
IDCJAC0016,061428,2016,06,19,
IDCJAC0016,061428,2016,06,20,
IDCJAC0016,061428,2016,06,21,
IDCJAC0016,061428,2016,06,22,
IDCJAC0016,061428,2016,06,23,
