2008,Darlington
2010,Surry Hills
2018,Rosebery
2021,Paddington
2025,Woollahra
2026,Bondi
2029,Rose Bay
2031,Randwick
2034,Coogee
2037,Glebe
2039,Rozelle
2041,Balmain
2044,St Peters
2046,Wareemba
2047,Drummoyne
2048,Stanmore
2066,Lane Cove
2074,Turramurra
2076,Wahroonga
2077,Hornsby
2079,Mount Colah
2081,Cowan
2082,Berowra Heights
2084,Duffys Forest
2085,Belrose
2086,Frenchs Forest
2087,Forestville
2088,Mosman
2092,Seaforth
2093,Balgowlah
2096,Freshwater
2099,Cromer
2100,Beacon Hill
2111,Gladesville
2119,Beecroft
2120,Westleigh
2126,Cherrybrook
2134,Burwood
2135,Strathfield
2137,Concord
2154,Castle Hill
2159,Arcadia
2162,Chester Hill
2190,Greenacre
2196,Punchbowl
2198,Georges Hall
2200,Bankstown
2203,Dulwich Hill
2204,Marrickville
2205,Arncliffe
2207,Bexley
2208,Kingsgrove
2209,Narwee
2211,Padstow
2216,Rockdale
2218,Carlton
2219,Sans Souci
2220,Hurstville
2224,Sylvania
2227,Gymea Bay
2228,Miranda
2229,Caringbah
2230,Cronulla
2231,Kurnell
2233,Engadine
2250,Mangrove Mountain
2251,Kincumber
2259,Dooralong
2260,Terrigal
2261,Killarney Vale
2262,Colongra
2263,Toukley
2264,Morisset
2265,Cooranbong
2278,Killingworth
2280,Belmont
2281,Caves Beach
2282,Warners Bay
2283,Toronto
2284,Teralba
2285,Glendale
2286,West Wallsend
2289,Adamstown Heights
2290,Charlestown
2291,Merewether
2292,Broadmeadow
2293,Wickham
2294,Carrington
2295,Fern Bay
2296,Islington
2300,Newcastle
2303,Hamilton
2305,New Lambton
2315,Shoal Bay
2320,Aberglasslyn
2321,Clarence Town
2324,Karuah
2325,Wollombi
2326,Sawyers Gully
2330,Bulga
